Category,Sub-Category,Parameter Name,Parameter Type,Range/Values,Description
Preferences,Display,High Contrast,Toggle,On/Off,Accessibility high contrast mode
Preferences,Display,Follow Behavior,Discrete,Multiple options,Auto-scroll preferences
Preferences,Input,Tab Navigation,Toggle,On/Off,Keyboard navigation enable
Preferences,Input,Arrow Key Clip Movement,Toggle,On/Off,Move clips with arrow keys
Preferences,Input,Pen Tablet Mode,Toggle,On/Off,Graphics tablet support
Preferences,Input,Screen Reader Support,Toggle,On/Off,Accessibility screen reader
Preferences,Audio,Driver Type,Discrete,ASIO/CoreAudio,Audio driver selection
Preferences,Audio,Latency Compensation,Continuous,Milliseconds,Overall latency adjustment
Preferences,MIDI,Control Surface 1,Discrete,Available controllers,First control surface
Preferences,MIDI,Control Surface 2,Discrete,Available controllers,Second control surface
Preferences,MIDI,Control Surface 3,Discrete,Available controllers,Third control surface
Preferences,MIDI,MIDI Sync Delay,Continuous,Milliseconds,MIDI clock timing adjustment
Preferences,MIDI,MIDI Port Track,Toggle,On/Off,Enable MIDI note/CC routing
Preferences,MIDI,MIDI Port Sync,Toggle,On/Off,Enable MIDI clock sync
Preferences,MIDI,MIDI Port Remote,Toggle,On/Off,Enable remote control
Preferences,File,Temporary Folder,Path,Folder location,Temporary files storage location
Preferences,File,Collect Files,Discrete,Always/Ask/Never,File collection behavior
Preferences,File,Auto-save,Discrete,Multiple options,Automatic save configuration
Preferences,Library,User Library Path,Path,Folder location,Custom user library location
Preferences,Library,Show Cloud,Toggle,On/Off,Show cloud content in browser
Preferences,Library,Show Push,Toggle,On/Off,Show Push content in browser
Preferences,Library,Auto-tag Samples,Toggle,On/Off,Automatic sample tagging
Preferences,Plugins,VST2 Folders,Multiple Paths,Folder locations,VST2 plugin directories
Preferences,Plugins,VST3 Folders,Multiple Paths,Folder locations,VST3 plugin directories
Preferences,Plugins,AU Folders,Multiple Paths,Folder locations,Audio Units directories
Preferences,Record,Default Monitoring,Discrete,Off/Auto/In,Default monitor setting
Preferences,Record,Count-in Bars,Discrete,1-4,Default count-in duration
Preferences,Record,Auto-warp,Toggle,On/Off,Automatic warping for imported audio
Preferences,Record,Default Quantization,Discrete,Multiple divisions,Default quantization setting

Max for Live,Integration,Max Installation Path,Path,Folder location,External Max application path
Max for Live,Integration,Edit Mode,Toggle,On/Off,Enable device editing
Max for Live,Integration,Freeze Device,Toggle,On/Off,Freeze device dependencies
Max for Live,Devices,DS Kick Pitch,Continuous,Hz frequency,Drum synth kick frequency
Max for Live,Devices,DS Kick Drive,Continuous,0-100%,Drum synth kick saturation
Max for Live,Devices,DS Kick Decay,Continuous,0-100%,Drum synth kick envelope decay
Max for Live,Devices,DS Snare Tone,Continuous,0-100%,Drum synth snare tone color
Max for Live,Devices,LFO Rate,Continuous,Hz or beat divisions,LFO modulation rate
Max for Live,Devices,LFO Depth,Continuous,0-100%,LFO modulation depth
Max for Live,Devices,Envelope Attack,Continuous,0-20s,Envelope attack time
Max for Live,Devices,Envelope Release,Continuous,0-20s,Envelope release time
Advanced,Options.txt,ShowDeviceSlots,Toggle,On/Off,Show device slots in mixer
Advanced,Options.txt,EnableMapToSiblings,Toggle,On/Off,Map parameters across device instances
Advanced,Options.txt,PluginAutoPopulateThreshold,Discrete,1-128 or -1,Auto-populate plugin parameters
Advanced,Options.txt,EnableArmOnSelection,Toggle,On/Off,Auto-arm tracks when selected
Advanced,Options.txt,NoAutoArming,Toggle,On/Off,Disable automatic track arming
Advanced,Options.txt,MaxForLiveDeveloperMode,Toggle,On/Off,Restore Max device edit buttons
Advanced,Hidden UI,Scene Tempo Controls,Toggle,Visible/Hidden,Per-scene tempo assignment
Advanced,Hidden UI,Mixer Track Options,Toggle,Visible/Hidden,Advanced track controls
Advanced,Hidden UI,Performance Impact,Toggle,Visible/Hidden,CPU usage per track
Advanced,Hidden UI,Full Height Browser,Toggle,On/Off,Maximum browser height
Advanced,Navigation,Tab to Move Focus,Toggle,On/Off,Complete keyboard navigation
Advanced,Navigation,Wrap Tab Navigation,Toggle,On/Off,Circular tab navigation
Advanced,Navigation,Context Menu Access,Shortcut,Menu key or equivalent,Context menu via keyboard
Advanced,Accessibility,Screen Reader Announcements,Toggle,On/Off,Enhanced accessibility feedback
Advanced,Accessibility,High Contrast Mode,Toggle,On/Off,Maximum contrast color scheme
Advanced,Performance,GPU Acceleration,Toggle,On/Off,Hardware accelerated UI rendering
Advanced,Performance,Memory Management,Multiple,Various options,Advanced memory handling
